id,species_ori,vernacularName,scientificName,taxonRank,type,source_latest_only,species_code_ntu,species_nr,statusTW
99,小鸊鷉,小鸊鷉,Tachybaptus ruficollis,species,,,B0007,58,breed
100,山羌,山羌,Muntiacus reevesi micrurus,nonAves,,,NA,838,NA
101,山紅頭,山紅頭,Cyanoderma ruficeps,species,,,B0375,561,breed
102,山麻雀,山麻雀,Passer cinnamomeus,species,,,B0538,737,breed
103,山鷸,山鷸,Scolopax rusticola,species,,,B0216,250,nonbreeding
104,中白鷺,中白鷺,Ardea intermedia,species,,,B0048,110,breed
105,中地鷸,中地鷸,Gallinago megala,species,,,B0203,248,nonbreeding
106,中杓鷸,中杓鷸,Numenius phaeopus,species,,,B0213,219,nonbreeding
107,中杜鵑,北方中杜鵑,Cuculus optatus,species,,,B0286,335,breed
108,丹氏濱鷸,丹氏濱鷸,Calidris temminckii,species,,,B0197,232,nonbreeding
109,五色鳥,五色鳥,Psilopogon nuchalis,species,,,B0315,379,breed
110,反嘴鴴,反嘴鴴,Recurvirostra avosetta,species,,,B0235,186,nonbreeding
111,反嘴鷸,反嘴鷸,Xenus cinereus,species,,,B0228,206,nonbreeding
112,太平洋金斑鴴,太平洋金斑鴴,Pluvialis fulva,species,,,B0186,191,nonbreeding
113,日本松雀鷹,日本松雀鷹,Accipiter gularis,species,,,B0134,150,nonbreeding
114,日本樹鶯,短翅樹鶯複合種,Horornis diphone/canturians,speciesComplex,,,B0426,815,nonbreeding
115,毛腳燕,東方毛腳燕,Delichon dasypus,species,,,B0322,454,breed
116,水雉,水雉,Hydrophasianus chirurgus,species,,,B0175,204,breed
117,火冠戴菊鳥,火冠戴菊鳥,Regulus goodfellowi,species,,,B0443,485,breed
118,爪哇雀,爪哇雀,Lonchura oryzivora,species,,,B0504,786,introduced
119,牛背鷺,黃頭鷺,Bubulcus ibis,species,,,B0042,116,breed
120,北方中杜鵑,北方中杜鵑,Cuculus optatus,species,,,B0286,335,breed
121,北雀鷹,北雀鷹,Accipiter nisus,species,,,B0110,152,nonbreeding
122,台灣山鷓鴣,臺灣山鷓鴣,Arborophila crudigularis,species,,,B0146,46,breed
123,台灣水鹿,臺灣水鹿,Rusa unicolor swinhoei,nonAves,,,NA,839,NA
124,台灣白喉噪眉,臺灣白喉噪眉,Ianthocincla ruficeps,species,,,B0366,571,breed
125,台灣朱雀,臺灣朱雀,Carpodacus formosanus,species,,,B0511,726,breed
126,台灣竹雞,臺灣竹雞,Bambusicola sonorivox,species,,,B0147,47,breed
127,台灣夜鷹,南亞夜鷹,Caprimulgus affinis,species,,,B0302,353,breed
128,台灣松雀鷹,松雀鷹,Accipiter virgatus,species,,,B0111,151,breed
129,台灣畫眉,臺灣/大陸畫眉,Garrulax canorus/taewanus,speciesComplex,,,B0367,787,breed
130,台灣畫眉/大陸畫眉,臺灣/大陸畫眉,Garrulax canorus/taewanus,speciesComplex,,,B0367,787,breed
131,台灣紫嘯鶇,臺灣紫嘯鶇,Myophonus insularis,species,,,B0396,602,breed
132,台灣噪眉,臺灣噪眉,Trochalopteron morrisonianum,species,,,B0368,574,breed
133,台灣叢樹鶯,臺灣叢樹鶯,Locustella alishanensis,species,,,B0424,540,breed
134,台灣藍鵲,臺灣藍鵲,Urocissa caerulea,species,,,B0351,431,breed
135,台灣獼猴,臺灣獼猴,Macaca cyclopis,nonAves,,,NA,841,NA
136,台灣鷦眉,臺灣鷦眉,Pnoepyga formosana,species,,,B0372,487,breed
137,四聲杜鵑,四聲杜鵑,Cuculus micropterus,species,,,B0284,333,nonbreeding
138,巨嘴鴉,巨嘴鴉,Corvus macrorhynchos,species,,,B0343,439,breed
139,未做調查,未做調查,No survey,nonAves,,,NOSURVEY,852,NA
140,田鵐,田鵐,Emberiza rustica,species,,,B0529,709,nonbreeding
141,田鷸,田鷸,Gallinago gallinago,species,,,B0201,246,nonbreeding
142,白氏地鶇,白氏/虎斑地鶇,Zoothera aurea/dauma,speciesComplex,,,B0408,788,nonbreeding
143,白氏地鶇/虎斑地鶇,白氏/虎斑地鶇,Zoothera aurea/dauma,speciesComplex,,,B0408,788,nonbreeding
144,白耳畫眉,白耳畫眉,Heterophasia auricularis,species,,,B0370,575,breed
145,白尾八哥,白尾八哥,Acridotheres javanicus,species,,,B0492,663,introduced
146,白尾鴝,白尾鴝,Myiomela leucura,species,,,B0397,606,breed
147,白冠雞,白冠雞,Fulica atra,species,,,B0160,176,nonbreeding
148,白眉林鴝,臺灣白眉林鴝,Tarsiger formosanus,species,,,B0404,608,breed
149,白眉黃鶺鴒,黃鶺鴒複合種,Motacilla flava/tschutschensis,speciesComplex,,,B0471,819,nonbreeding
150,白眉鴨,白眉鴨,Spatula querquedula,species,,,B0078,26,nonbreeding
151,白眉鵐,白眉鵐,Emberiza tristrami,species,,,B0534,705,nonbreeding
152,白眉鶇,白眉鶇,Turdus obscurus,species,,,B0412,642,nonbreeding
153,白背鷚,白背鷚,Anthus gustavi,species,,,B0463,689,nonbreeding
154,白面白鶺鴒,白鶺鴒,Motacilla alba,species,,,B0468,681,breed
155,白翅黑燕鷗,白翅黑燕鷗,Chlidonias leucopterus,species,,,B0258,296,nonbreeding
156,白喉文鳥,白喉文鳥,Euodice malabarica,species,,,B0585,741,introduced
157,白喉笑鶇,臺灣白喉噪眉,Ianthocincla ruficeps,species,,,B0366,571,breed
158,白喉針尾雨燕,白喉針尾雨燕,Hirundapus caudacutus,species,,,B0649,355,nonbreeding
159,白喉噪眉,臺灣白喉噪眉,Ianthocincla ruficeps,species,,,B0366,571,breed
160,白琵鷺,白琵鷺,Platalea leucorodia,species,,,B0063,129,nonbreeding
161,白腰文鳥,白腰文鳥,Lonchura striata,species,,,B0503,742,breed
162,白腰雨燕,叉尾雨燕,Apus pacificus,species,,,B0305,359,breed
163,白腰草鷸,白腰草鷸,Tringa ochropus,species,,,B0224,208,nonbreeding
164,白腰鵲鴝,白腰鵲鴝,Copsychus malabaricus,species,,,B0573,586,introduced
165,白腹海鵰,白腹海鵰,Haliaeetus leucogaster,species,,,B0126,156,nonbreeding
166,白腹秧雞,白腹秧雞,Amaurornis phoenicurus,species,,,B0159,166,breed
167,白腹鶇,白腹鶇,Turdus pallidus,species,,,B0413,643,nonbreeding
168,白頭翁,白頭翁,Pycnonotus sinensis,species,,,B0381,478,breed
169,白頭鶇,白頭鶇,Turdus niveiceps,species,,,B0414,641,breed
170,白頰噪眉,白頰噪眉,Ianthocincla sannio,species,,,B0576,792,introduced
171,白環鸚嘴鵯,白環鸚嘴鵯,Spizixos semitorques,species,,,B0383,476,breed
172,白鶺鴒,白鶺鴒,Motacilla alba,species,,,B0468,681,breed
173,尖尾鴨,尖尾鴨,Anas acuta,species,,,B0069,25,nonbreeding
174,尖尾濱鷸,尖尾濱鷸,Calidris acuminata,species,,,B0190,229,nonbreeding
175,朱鸝,朱鸝,Oriolus traillii,species,,,B0338,417,breed
176,池鷺,池鷺,Ardeola bacchus,species,,,B0040,117,nonbreeding
177,灰山椒鳥,灰山椒鳥,Pericrocotus divaricatus,species,,,B0331,399,nonbreeding
178,灰沙燕,灰沙燕,Riparia riparia,species,,,B0327,448,nonbreeding
179,灰卷尾,灰卷尾,Dicrurus leucophaeus,species,,,B0334,420,nonbreeding
180,灰林銀鷗,小黑背鷗,Larus fuscus,species,,,B0624,284,nonbreeding
181,灰林鴞,東方灰林鴞,Strix nivicolum,species,,,B0300,347,breed
182,灰林鴿,灰林鴿,Columba pulchricollis,species,,,B0270,307,breed
183,灰背椋鳥,灰背椋鳥,Sturnia sinensis,species,,,B0487,657,nonbreeding
184,灰面鵟鷹,灰面鵟鷹,Butastur indicus,species,,,B0118,144,nonbreeding
185,灰胸秧雞,灰胸秧雞,Lewinia striata,species,,,B0169,164,breed
186,灰喉山椒鳥,灰喉山椒鳥,Pericrocotus solaris,species,,,B0332,396,breed
187,灰喉針尾雨燕,灰喉針尾雨燕,Hirundapus cochinchinensis,species,,,B0306,356,breed
188,灰喜鵲,灰喜鵲,Cyanopica cyanus,species,,,B0602,430,introduced
189,灰斑鴴,灰斑鴴,Pluvialis squatarola,species,,,B0187,190,nonbreeding
190,灰斑鶲,灰斑鶲,Muscicapa griseisticta,species,,,B0455,579,nonbreeding
191,灰椋鳥,灰椋鳥,Spodiopsar cineraceus,species,,,B0485,660,breed
192,灰腳秧雞,灰腳秧雞,Rallina eurizonoides,species,,,B0166,163,breed
193,灰樹鵲,樹鵲,Dendrocitta formosae,species,,,B0347,432,breed
194,灰頭花翼,褐頭花翼,Fulvetta formosana,species,,,B0364,551,breed
195,灰頭椋鳥,灰頭椋鳥,Sturnia malabarica,species,,,B0714,658,introduced
196,灰頭鷦鶯,灰頭鷦鶯,Prinia flaviventris,species,,,B0441,545,breed
197,灰鶺鴒,灰鶺鴒,Motacilla cinerea,species,,,B0469,680,nonbreeding
198,灰鷽,灰鷽,Pyrrhula erythaca,species,,,B0516,723,breed
199,竹鳥,棕噪眉,Ianthocincla poecilorhyncha,species,,,B0369,573,breed
200,竹雞,臺灣竹雞,Bambusicola sonorivox,species,,,B0147,47,breed
201,低地繡眼,低地繡眼,Zosterops meyeni,species,,,B0618,559,breed
202,佛法僧,佛法僧,Eurystomus orientalis,species,,,B0313,375,nonbreeding
203,豆雁,寒林/凍原豆雁,Anser fabalis/serrirostris,speciesComplex,,,B0084MIX,810,nonbreeding
204,赤足鷸,赤足鷸,Tringa totanus,species,,,B0226,217,nonbreeding
205,赤喉鷚,赤喉鷚,Anthus cervinus,species,,,B0462,690,nonbreeding
206,赤腰燕,赤腰燕,Cecropis striolata,species,,,B0324,452,breed
207,赤腹山雀,赤腹山雀,Sittiparus castaneoventris,species,,,B0360,461,breed
208,赤腹松鼠,赤腹松鼠,Callosciurus erythraeus thaiwanensis,nonAves,,,NA,842,NA
209,赤腹鶇,赤腹鶇,Turdus chrysolaus,species,,,B0407,644,nonbreeding
210,赤腹鷹,赤腹鷹,Accipiter soloensis,species,,,B0112,149,nonbreeding
211,赤翡翠,赤翡翠,Halcyon coromanda,species,,,B0308,364,nonbreeding
212,赤膀鴨,赤膀鴨,Mareca strepera,species,,,B0079,17,nonbreeding
213,赤頸鴨,赤頸鴨,Mareca penelope,species,,,B0075,19,nonbreeding
214,卷羽鵜鶘,卷羽鵜鶘,Pelecanus crispus,species,,,B0026,100,nonbreeding
215,夜鷺,夜鷺,Nycticorax nycticorax,species,,,B0058,120,breed
216,岩鷚,岩鷚,Prunella collaris,species,,,B0461,673,breed
217,岩鷺,岩鷺,Egretta sacra,species,,,B0050,114,breed
218,東方大葦鶯,東方大葦鶯,Acrocephalus orientalis,species,,,B0422,532,nonbreeding
219,東方毛腳燕,東方毛腳燕,Delichon dasypus,species,,,B0322,454,breed
220,東方黃鶺鴒,黃鶺鴒複合種,Motacilla flava/tschutschensis,speciesComplex,,,B0471,819,nonbreeding
221,東方蜂鷹,東方蜂鷹,Pernis ptilorhynchus,species,,,B0131,135,breed
222,東方澤鵟,東方澤鵟,Circus spilonotus,species,,,B0122,145,nonbreeding
223,東方環頸鴴,東方環頸鴴,Charadrius alexandrinus,species,,,B0178,196,breed
224,東方鵟,東方鵟,Buteo japonicus,species,,,B0119,159,nonbreeding
225,松雀鷹,松雀鷹,Accipiter virgatus,species,,,B0111,151,breed
226,松鴉,松鴉,Garrulus glandarius,species,,,B0348,429,breed
227,林八哥,林八哥,Acridotheres fuscus,species,,,B0493,662,introduced
228,林鵰,林鵰,Ictinaetus malaiensis,species,,,B0129,140,breed
229,河烏,河烏,Cinclus pallasii,species,,,B0385,474,breed
230,花翅山椒鳥,花翅山椒鳥,Coracina macei,species,,,B0330,402,breed
231,花雀,花雀,Fringilla montifringilla,species,,,B0515,721,nonbreeding
232,花嘴鴨,花嘴鴨,Anas zonorhyncha,species,,,B0077,22,breed
233,虎斑地鶇（小虎鶇）,小虎鶇,Zoothera dauma dauma,species,,,B0676,783,breed
234,虎鶇,白氏/虎斑地鶇,Zoothera aurea/dauma,speciesComplex,,,B0408,788,nonbreeding
235,虎鶇（並未區分白氏或虎斑）,白氏/虎斑地鶇,Zoothera aurea/dauma,speciesComplex,,,B0408,788,nonbreeding
236,金背鳩,金背鳩,Streptopelia orientalis,species,,,B0274,309,breed
237,金翅雀,金翅雀,Chloris sinica,species,,,B0508,728,nonbreeding
238,金斑鴴,太平洋金斑鴴,Pluvialis fulva,species,,,B0186,191,nonbreeding
239,金腰燕,金腰燕,Cecropis daurica,species,,,B0328,451,nonbreeding
240,金翼白眉,臺灣噪眉,Trochalopteron morrisonianum,species,,,B0368,574,breed
241,長吻松鼠,長吻松鼠,Dremomys pernyi owstoni,nonAves,,,NA,843,NA
242,長尾鳩,長尾鳩,Macropygia tenuirostris,species,,,B0271,314,breedLY
243,長趾濱鷸,長趾濱鷸,Calidris subminuta,species,,,B0196,233,nonbreeding
244,長鬃山羊,長鬃山羊,Capricornis swinhoei,nonAves,,,NA,844,NA
245,青足鷸,青足鷸,Tringa nebularia,species,,,B0223,212,nonbreeding
246,青背山雀,青背山雀,Parus monticolus,species,,,B0359,463,breed
247,冠羽柳鶯,冠羽柳鶯,Phylloscopus coronatus,species,,,B0435,515,nonbreeding
248,冠羽畫眉,冠羽畫眉,Yuhina brunneiceps,species,,,B0376,556,breed
249,帝雉,黑長尾雉,Syrmaticus mikado,species,,,B0152,48,breed
250,星鴉,星鴉,Nucifraga caryocatactes,species,,,B0349,434,breed
251,洋燕,洋燕,Hirundo tahitica,species,,,B0325,450,breed
252,流蘇鷸,流蘇鷸,Calidris pugnax,species,,,B0215,227,nonbreeding
253,疣鼻棲鴨,疣鼻棲鴨(馴化),Cairina moschata (Domestic type),species,,,NA,814,domestic
254,疣鼻棲鴨(馴化) ,疣鼻棲鴨(馴化),Cairina moschata (Domestic type),species,,,NA,814,domestic
255,紅山椒鳥,灰喉山椒鳥,Pericrocotus solaris,species,,,B0332,396,breed
256,紅尾伯勞,紅尾伯勞,Lanius cristatus,species,,,B0476,409,nonbreeding
257,紅尾鶲,紅尾鶲,Muscicapa ferruginea,species,,,B0454,582,breed
258,紅冠水雞,紅冠水雞,Gallinula chloropus,species,,,B0162,175,breed
259,紅胸啄花,紅胸啄花,Dicaeum ignipectus,species,,,B0498,667,breed
260,紅胸濱鷸,紅胸濱鷸,Calidris ruficollis,species,,,B0195,235,nonbreeding
261,紅胸鶲,紅胸鶲,Ficedula parva,species,,,B0451,618,nonbreeding
262,紅隼,紅隼,Falco tinnunculus,species,,,B0141,386,nonbreeding
263,紅腹濱鷸,紅腹濱鷸,Calidris canutus,species,,,B0192,226,nonbreeding
264,紅鳩,紅鳩,Streptopelia tranquebarica,species,,,B0275,311,breed
265,紅領綠鸚鵡,紅領綠鸚鵡,Psittacula krameri,species,,,B0539,802,introduced
266,紅嘴黑鵯,紅嘴黑鵯,Hypsipetes leucocephalus,species,,,B0380,480,breed
267,紅嘴藍鵲,紅嘴藍鵲,Urocissa erythroryncha,species,,,B0601,803,introduced
268,紅嘴鷗,紅嘴鷗,Chroicocephalus ridibundus,species,,,B0248,274,nonbreeding
269,紅燕鷗,紅燕鷗,Sterna dougallii,species,,,B0254,298,breed
270,紅頭山雀,紅頭山雀,Aegithalos concinnus,species,,,B0355,468,breed
271,紅頭伯勞,紅頭伯勞,Lanius bucephalus,species,,,B0475,407,nonbreeding
272,紅頭綠鳩,紅頭綠鳩,Treron formosae,species,,,B0277,319,breed
273,美洲鴛鴦,林鴛鴦(馴化),Aix sponsa (Domestic type),species,,,NA,795,domestic
274,唐白鷺,唐白鷺,Egretta eulophotes,species,,,B0046,112,nonbreeding
275,埃及聖鹮,埃及聖䴉,Threskiornis aethiopicus,species,,,B0066,126,introduced
276,埃及聖䴉,埃及聖䴉,Threskiornis aethiopicus,species,,,B0066,126,introduced
277,家八哥,家八哥,Acridotheres tristis,species,,,B0482,661,introduced
278,家燕,家燕,Hirundo rustica,species,,,B0323,449,breed
279,家鵝,家鵝(馴化),Anser sp. (Domestic type),genus,,,NA,779,domestic
280,家鵝(馴化),家鵝(馴化),Anser sp. (Domestic type),genus,,,NA,779,domestic
281,栗小鷺,栗小鷺,Ixobrychus cinnamomeus,species,,,B0054,105,breed
282,栗尾椋鳥,灰頭椋鳥,Sturnia malabarica,species,,,B0714,658,introduced
283,栗背林鴝,栗背林鴝,Tarsiger johnstoniae,species,,,B0405,609,breed
284,泰國八哥,大八哥(叢八哥),Acridotheres grandis,species,,,B0600,780,introduced
285,烏頭翁,烏頭翁,Pycnonotus taivanus,species,,,B0382,477,breed
286,珠頸斑鳩,珠頸斑鳩,Streptopelia chinensis,species,,,B0273,312,breed
287,珠頸鳩,珠頸斑鳩,Streptopelia chinensis,species,,,B0273,312,breed
288,粉紅鸚嘴,粉紅鸚嘴,Sinosuthora webbiana,species,,,B0353,552,breed
289,紋翼畫眉,紋翼畫眉,Actinodura morrisoniana,species,,,B0362,577,breed
290,茶腹鳾,茶腹鳾,Sitta europaea,species,,,B0361,470,breed
291,草鵐,草鵐,Emberiza cioides,species,,,B0523,702,nonbreeding
292,貢德氏赤蛙,貢德氏赤蛙,Hylarana guentheri,nonAves,,,NA,850,NA
293,酒紅朱雀,臺灣朱雀,Carpodacus formosanus,species,,,B0511,726,breed
294,針尾雨燕,針尾雨燕屬,Hirundapus sp.,genus,,,NA,766,NA
295,高蹺鴴,高蹺鴴,Himantopus himantopus,species,,,B0234,185,breed
296,彩鹮,彩䴉,Plegadis falcinellus,species,,,B0065,125,nonbreeding
297,彩鷸,彩鷸,Rostratula benghalensis,species,,,B0176,202,breed
298,彩鸛,NA,NA,NA,mis-identified,,NA,807,NA
299,條紋松鼠,條紋松鼠,Tamiops maritimus formosanus,nonAves,,,NA,845,NA
300,深山竹雞,臺灣山鷓鴣,Arborophila crudigularis,species,,,B0146,46,breed
301,深山鶯,深山鶯,Horornis acanthizoides,species,,,B0425,494,breed
302,眼紋灰背白鶺鴒,白鶺鴒,Motacilla alba,species,,,B0468,681,breed
303,野鴝,野鴝,Calliope calliope,species,,,B0393,605,nonbreeding
304,野鴿,野鴿,Columba livia,species,,,B0269,306,introduced
305,野鵐,野鵐,Emberiza sulphurata,species,,,B0533,715,nonbreeding
306,魚鷹,魚鷹,Pandion haliaetus,species,,,B0135,132,nonbreeding
307,麻雀,麻雀,Passer montanus,species,,,B0537,738,breed
308,喜鵲,喜鵲,Pica serica,species,,,B0350,433,breedKM
309,斑文鳥,斑文鳥,Lonchura punctulata,species,,,B0502,743,breed
310,斑尾鷸,斑尾鷸,Limosa lapponica,species,,,B0207,223,nonbreeding
311,斑紋鷦鶯,斑紋鷦鶯,Prinia crinigera,species,,,B0440,544,breed
312,斑頸鳩,珠頸斑鳩,Streptopelia chinensis,species,,,B0273,312,breed
313,斑點鶇,斑點鶇,Turdus eunomus,species,,,B0411,647,nonbreeding
314,斯文豪氏遊蛇,斯文豪氏遊蛇,Rhabdophis swinhonis,nonAves,,,NA,851,NA
315,棕三趾鶉,棕三趾鶉,Turnix suscitator,species,,,B0153,256,breed
316,棕耳鵯,棕耳鵯,Hypsipetes amaurotis,species,,,B0379,481,breed
317,棕沙燕,棕沙燕,Riparia chinensis,species,,,B0326,447,breed
318,棕背伯勞,棕背伯勞,Lanius schach,species,,,B0478,411,breed
319,棕面鶯,棕面鶯,Abroscopus albogularis,species,,,B0421,490,breed
320,棕扇尾鶯,棕扇尾鶯,Cisticola juncidis,species,,,B0430,542,breed
321,棕噪眉,棕噪眉,Ianthocincla poecilorhyncha,species,,,B0369,573,breed
322,棕簑貓,食蟹獴,Herpestes urva formosanus,nonAves,,,NA,846,NA
323,琵嘴鴨,琵嘴鴨,Spatula clypeata,species,,,B0070,24,nonbreeding
324,番鴨,疣鼻棲鴨(馴化),Cairina moschata (Domestic type),species,,,NA,814,domestic
325,番鵑,番鵑,Centropus bengalensis,species,,,B0279,323,breed
326,畫眉,臺灣/大陸畫眉,Garrulax canorus/taewanus,speciesComplex,,,B0367,787,breed
327,短尾鶯,短尾鶯,Urosphena squameiceps,species,,,B0428,489,nonbreeding
328,短翅樹鶯,短翅樹鶯複合種,Horornis diphone/canturians,speciesComplex,,,B0426,815,nonbreeding
