編碼,中文名,學名,亞種小名,英文名,科名,"臺灣地區遷徙屬性
（蘭嶼：蘭、綠島：綠、
龜山島：龜、本島局部地區：局）",馬祖地區遷徙屬性,金門地區遷徙屬性,東沙島遷徙屬性,特有性,臺灣保育等級
195,三趾鷗,Rissa tridactyla,pollicaris,Black-legged Kittiwake,鷗科 Laridae,冬、稀,過、稀,過、稀,無,,
196,叉尾鷗,Xema sabini,?,Sabine's Gull,鷗科 Laridae,迷,無,無,無,,
197,黑嘴鷗,Saundersilarus saundersi,無亞種分化,Saunders's Gull,鷗科 Laridae,冬、不普,過、稀,冬、稀/過、稀,無,,II
198,細嘴鷗,Chroicocephalus genei,無亞種分化,Slender-billed Gull,鷗科 Laridae,迷,無,無,無,,
199,紅嘴鷗,Chroicocephalus ridibundus,無亞種分化,Black-headed Gull,鷗科 Laridae,冬、普,過、稀,冬、普/過、普,過、稀,,
200,棕頭鷗,Chroicocephalus brunnicephalus,無亞種分化,Brown-headed Gull,鷗科 Laridae,迷,無,無,無,,
201,小鷗,Hydrocoloeus minutus,無亞種分化,Little Gull,鷗科 Laridae,迷,無,無,無,,
202,笑鷗,Leucophaeus atricilla,megalopterus,Laughing Gull,鷗科 Laridae,迷,無,無,無,,
203,弗氏鷗,Leucophaeus pipixcan,無亞種分化,Franklin's Gull,鷗科 Laridae,迷,無,無,無,,
204,遺鷗,Ichthyaetus relictus,無亞種分化,Relict Gull,鷗科 Laridae,無,無,迷,無,,I
205,漁鷗,Ichthyaetus ichthyaetus,無亞種分化,Pallas's Gull,鷗科 Laridae,冬、稀,無,?,無,,
206,黑尾鷗,Larus crassirostris,無亞種分化,Black-tailed Gull,鷗科 Laridae,冬、不普/過、不普,夏、普/過、普,冬、稀/過、不普,過、稀,,
207,歐亞海鷗,Larus canus,"kamtschatschensis, heinei",Common Gull,鷗科 Laridae,冬、稀,過、稀,過、稀 ,無,,
208,銀鷗,Larus argentatus,"vegae, mongolicus",Herring Gull,鷗科 Laridae,冬、稀,過、稀,冬、不普/過、稀,過、稀,,
209,小黑背鷗,Larus fuscus,heuglini,Lesser Black-backed Gull,鷗科 Laridae,冬、稀,過、稀,冬、不普/過、不普,過、稀,,
210,灰背鷗,Larus schistisagus,無亞種分化,Slaty-backed Gull,鷗科 Laridae,冬、稀,過、稀,冬、稀,無,,
211,北極鷗,Larus hyperboreus,hyperboreus,Glaucous Gull,鷗科 Laridae,迷,無,無,無,,
212,玄燕鷗,Anous stolidus,pileatus,Brown Noddy,鷗科 Laridae,夏、稀,過、稀,過、稀,過、稀,,II
213,黑玄燕鷗,Anous minutus,?,Black Noddy,鷗科 Laridae,迷,無,無,無,,
214,烏領燕鷗,Onychoprion fuscatus,nubilosus,Sooty Tern,鷗科 Laridae,夏、稀/過、稀,過、稀,無,無,,
215,白眉燕鷗,Onychoprion anaethetus,anaethetus,Bridled Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,無,,II
216,白腰燕鷗,Onychoprion aleuticus,無亞種分化,Aleutian Tern,鷗科 Laridae,過、不普,過、稀,過、稀,無,,
217,小燕鷗,Sternula albifrons,sinensis,Little Tern,鷗科 Laridae,留、不普/夏、不普,過、稀,夏、不普/過、普,過、不普,,II
218,鷗嘴燕鷗,Gelochelidon nilotica,affinis,Gull-billed Tern,鷗科 Laridae,冬、稀/過、不普,過、稀,過、不普,過、不普,,
219,裏海燕鷗,Hydroprogne caspia,無亞種分化,Caspian Tern,鷗科 Laridae,冬、不普,無,冬、普,過、不普,,
220,黑浮鷗,Chlidonias niger,niger,Black Tern,鷗科 Laridae,迷,無,無,無,,
221,白翅黑燕鷗,Chlidonias leucopterus,無亞種分化,White-winged Tern,鷗科 Laridae,冬、稀/過、普,過、稀,過、不普,過、普,,
222,黑腹燕鷗,Chlidonias hybrida,hybrida,Whiskered Tern,鷗科 Laridae,冬、普/過、普,過、稀,冬、稀/過、不普,過、普,,
223,紅燕鷗,Sterna dougallii,bangsi,Roseate Tern,鷗科 Laridae,夏、不普,夏、不普,夏、不普,過、稀,,II
224,蒼燕鷗,Sterna sumatrana,sumatrana,Black-naped Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普,過、稀,,II
225,燕鷗,Sterna hirundo,"longipennis, hirundo(?), tibetana(?)",Common Tern,鷗科 Laridae,過、普,過、稀,過、稀,過、不普,,
226,鳳頭燕鷗,Thalasseus bergii,cristatus,Great Crested Tern,鷗科 Laridae,夏、不普,夏、普,夏、不普/過、不普,過、稀,,II
227,白嘴端燕鷗,Thalasseus sandvicensis,sandvicensis,Sandwich Tern,鷗科 Laridae,迷,無,無,無,,
228,小鳳頭燕鷗,Thalasseus bengalensis,torresii,Lesser Crested Tern,鷗科 Laridae,迷,無,無,無,,
229,黑嘴端鳳頭燕鷗,Thalasseus bernsteini,無亞種分化,Chinese Crested Tern,鷗科 Laridae,夏、稀/過、稀,夏、稀,過、稀,無,,I
230,白尾熱帶鳥,Phaethon lepturus,dorotheae,White-tailed Tropicbird,熱帶鳥科 Phaethontidae,海、迷,海、迷,無,無,,
231,紅嘴熱帶鳥,Phaethon aethereus,mesonauta,Red-billed Tropicbird,熱帶鳥科 Phaethontidae,海、迷,無,無,無,,
232,紅尾熱帶鳥,Phaethon rubricauda,melanorhynchos,Red-tailed Tropicbird,熱帶鳥科 Phaethontidae,海、稀,海、迷,無,無,,
233,紅喉潛鳥,Gavia stellata,無亞種分化,Red-throated Loon,潛鳥科 Gaviidae,迷,冬、稀,過、稀,無,,
234,黑喉潛鳥,Gavia arctica,viridigularis,Arctic Loon,潛鳥科 Gaviidae,迷,無,迷,無,,
235,太平洋潛鳥,Gavia pacifica,無亞種分化,Pacific Loon,潛鳥科 Gaviidae,迷,無,無,無,,
236,白嘴潛鳥,Gavia adamsii,無亞種分化,Yellow-billed Loon,潛鳥科 Gaviidae,無,迷,無,無,,
237,黑背信天翁,Phoebastria immutabilis,無亞種分化,Laysan Albatross,信天翁科 Diomedeidae,海、稀,無,無,無,,
238,黑腳信天翁,Phoebastria nigripes,無亞種分化,Black-footed Albatross,信天翁科 Diomedeidae,海、稀,無,海、稀,無,,I
239,短尾信天翁,Phoebastria albatrus,無亞種分化,Short-tailed Albatross,信天翁科 Diomedeidae,海、稀,無,海、稀,無,,I
240,黃蹼洋海燕,Oceanites oceanicus,?,Wilson's Storm-Petrel,海燕科 Hydrobatidae,海、迷,無,無,無,,
241,白腰叉尾海燕,Hydrobates leucorhous,leucorhous,Leach's Storm-Petrel,海燕科 Hydrobatidae,無,海、迷,無,無,,
242,黑叉尾海燕,Hydrobates monorhis,無亞種分化,Swinhoe's Storm-Petrel,海燕科 Hydrobatidae,海、不普,海、稀,海、稀,無,,
243,褐翅叉尾海燕,Hydrobates tristrami,無亞種分化,Tristram's Storm-Petrel,海燕科 Hydrobatidae,海、迷,無,無,無,,
244,暴風鸌,Fulmarus glacialis,rodgersii,Northern Fulmar,鸌科 Procellariidae,海、迷,無,無,無,,
245,索氏圓尾鸌,Pterodroma solandri,無亞種分化,Providence Petrel,鸌科 Procellariidae,海、迷,無,無,無,,
246,白腹穴鳥,Pterodroma hypoleuca,無亞種分化,Bonin Petrel,鸌科 Procellariidae,海、稀,無,無,無,,
247,穴鳥,Bulweria bulwerii,無亞種分化,Bulwer's Petrel,鸌科 Procellariidae,海、普,海、稀,無,海、稀,,
248,黑背白腹穴鳥,Pseudobulweria rostrata,rostrata,Tahiti Petrel,鸌科 Procellariidae,海、迷,無,無,無,,
249,大水薙鳥,Calonectris leucomelas,無亞種分化,Streaked Shearwater,鸌科 Procellariidae,海、普,海、稀,海、稀,海、稀,,
250,肉足水薙鳥,Ardenna carneipes,無亞種分化,Flesh-footed Shearwater,鸌科 Procellariidae,海、稀,無,無,無,,
251,長尾水薙鳥,Ardenna pacifica,chlororhyncha,Wedge-tailed Shearwater,鸌科 Procellariidae,海、稀,無,無,海、稀,,
252,灰水薙鳥,Ardenna grisea,無亞種分化,Sooty Shearwater,鸌科 Procellariidae,海、稀,海、稀,無,無,,
253,短尾水薙鳥,Ardenna tenuirostris,無亞種分化,Short-tailed Shearwater,鸌科 Procellariidae,海、稀,海、稀,無,海、稀,,
254,黑細鸌,Puffinus nativitatis,無亞種分化,Christmas Shearwater,鸌科 Procellariidae,海、迷,無,無,無,,
255,黑鸛,Ciconia nigra,無亞種分化,Black Stork,鸛科 Ciconiidae,冬、稀/過、稀,過、稀,冬、稀,無,,II
256,東方白鸛,Ciconia boyciana,無亞種分化,Oriental Stork,鸛科 Ciconiidae,冬、稀,過、稀,過、稀,無,,I
257,白斑軍艦鳥,Fregata ariel,ariel,Lesser Frigatebird,軍艦鳥科 Fregatidae,海、稀,海、稀,海、迷,海、不普,,
258,聖誕島軍艦鳥,Fregata andrewsi,無亞種分化,Christmas Island Frigatebird,軍艦鳥科 Fregatidae,海、迷,無,無,無,,
259,軍艦鳥,Fregata minor,minor,Great Frigatebird,軍艦鳥科 Fregatidae,海、稀,海、稀,海、迷,海、稀,,
260,藍臉鰹鳥,Sula dactylatra,personata,Masked Booby,鰹鳥科 Sulidae,海、稀,海、稀(海、迷?),無,無,,
261,白腹鰹鳥,Sula leucogaster,"plotus, brewsteri(?)",Brown Booby,鰹鳥科 Sulidae,海、普,海、稀,海、稀,海、稀,,
262,紅腳鰹鳥,Sula sula,rubripes,Red-footed Booby,鰹鳥科 Sulidae,海、稀,海、稀,無,海、稀,,
263,海鸕鷀,Urile pelagicus,pelagicus,Pelagic Cormorant,鸕鷀科 Phalacrocoracidae,冬、稀,迷,迷,無,,
264,鸕鷀,Phalacrocorax carbo,sinensis,Great Cormorant,鸕鷀科 Phalacrocoracidae,冬、普,冬、不普,冬、普,冬、稀/過、稀,,
265,丹氏鸕鷀,Phalacrocorax capillatus,無亞種分化,Japanese Cormorant,鸕鷀科 Phalacrocoracidae,冬、稀,冬、稀,迷,無,,
266,卷羽鵜鶘,Pelecanus crispus,無亞種分化,Dalmatian Pelican,鵜鶘科 Pelecanidae,迷,無,迷,無,,I
267,大麻鷺,Botaurus stellaris,stellaris,Great Bittern,鷺科 Ardeidae,冬、稀,過、稀,冬、稀,無,,
268,黃小鷺,Ixobrychus sinensis,無亞種分化,Yellow Bittern,鷺科 Ardeidae,留、不普/夏、不普,過、普,夏、不普/冬、不普/過、不普,過、不普,,
269,秋小鷺,Ixobrychus eurhythmus,無亞種分化,Schrenck's Bittern,鷺科 Ardeidae,過、稀,過、稀,過、稀,過、稀,,
270,栗小鷺,Ixobrychus cinnamomeus,無亞種分化,Cinnamon Bittern,鷺科 Ardeidae,留、不普,過、稀,過、稀,過、不普,,
271,黃頸黑鷺,Ixobrychus flavicollis,flavicollis,Black Bittern,鷺科 Ardeidae,冬、稀/過、稀,過、稀,過、稀,過、稀,,
272,蒼鷺,Ardea cinerea,jouyi,Gray Heron,鷺科 Ardeidae,冬、普,冬、不普/過、普,冬、普,冬、普/過、普,,
273,紫鷺,Ardea purpurea,manilensis,Purple Heron,鷺科 Ardeidae,留、稀/冬、稀,過、稀,冬、稀/過、稀,過、稀,,
274,大白鷺,Ardea alba,modesta,Great Egret,鷺科 Ardeidae,留、不普/夏、不普/冬、普,冬、稀/過、普,冬、普,冬、普/過、普,,
275,中白鷺,Ardea intermedia,intermedia,Intermediate Egret,鷺科 Ardeidae,夏、稀/冬、普,冬、稀/過、普,冬、不普,冬、普/過、普,,
276,白臉鷺,Egretta novaehollandiae,novaehollandiae,White-faced Heron,鷺科 Ardeidae,迷,無,無,無,,
277,唐白鷺,Egretta eulophotes,無亞種分化,Chinese Egret,鷺科 Ardeidae,冬、稀/過、不普,過、稀,夏、不普/冬、稀/過、不普,過、不普,,II
278,小白鷺,Egretta garzetta,garzetta,Little Egret,鷺科 Ardeidae,留、不普/夏、普/冬、普/過、普,夏、不普/冬、不普/過、普,留、普,冬、普/過、普,,
279,岩鷺,Egretta sacra,sacra,Pacific Reef-Heron,鷺科 Ardeidae,留、不普,留、不普,留、不普,過、稀,,
280,白頸黑鷺,Egretta picata,無亞種分化,Pied Heron,鷺科 Ardeidae,迷,無,無,無,,
281,黃頭鷺,Bubulcus ibis,coromandus,Cattle Egret,鷺科 Ardeidae,留、不普/夏、普/冬、普/過、普,夏、不普/過、普,留、不普/過、不普,冬、普/過、普,,
282,印度池鷺,Ardeola grayii,無亞種分化,Indian Pond-Heron,鷺科 Ardeidae,迷,無,無,無,,
283,池鷺,Ardeola bacchus,無亞種分化,Chinese Pond-Heron,鷺科 Ardeidae,冬、稀,夏、普/過、普,夏、不普/冬、稀/過、不普,過、不普,,
284,爪哇池鷺,Ardeola speciosa,continentalis,Javan Pond-Heron,鷺科 Ardeidae,迷,無,無,無,,
285,綠簑鷺,Butorides striata,"carcinophila, amurensis, actophila",Striated Heron,鷺科 Ardeidae,留、不普/過、稀,過、不普,夏、稀/過、稀,過、不普,,
286,夜鷺,Nycticorax nycticorax,nycticorax,Black-crowned Night-Heron,鷺科 Ardeidae,留、普/冬、稀/過、稀,留、不普/冬、稀/過、普,留、普,過、普,,
287,棕夜鷺,Nycticorax caledonicus,manillensis,Nankeen Night-Heron,鷺科 Ardeidae,迷,無,無,無,,
288,麻鷺,Gorsachius goisagi,無亞種分化,Japanese Night-Heron,鷺科 Ardeidae,過、稀,過、稀,無,無,,III
289,黑冠麻鷺,Gorsachius melanolophus,melanolophus,Malayan Night-Heron,鷺科 Ardeidae,留、普,迷,迷,無,,
290,彩䴉,Plegadis falcinellus,無亞種分化,Glossy Ibis,䴉科 Threskiornithidae,迷,無,迷,無,,
291,埃及聖䴉,Threskiornis aethiopicus,無亞種分化,African Sacred Ibis,䴉科 Threskiornithidae,引進種、不普,引進種、稀,無,無,,
292,黑頭白䴉,Threskiornis melanocephalus,無亞種分化,Black-headed Ibis,䴉科 Threskiornithidae,冬、稀/過、稀,無,過、稀,無,,II
293,朱鷺,Nipponia nippon,無亞種分化,Crested Ibis,䴉科 Threskiornithidae,歷史紀錄,無,無,無,,I
294,白琵鷺,Platalea leucorodia,leucorodia,Eurasian Spoonbill,䴉科 Threskiornithidae,冬、稀,過、稀,冬、稀/過、稀,無,,II
295,黑面琵鷺,Platalea minor,無亞種分化,Black-faced Spoonbill,䴉科 Threskiornithidae,冬、不普/過、稀,過、稀,冬、不普,冬、稀/過、稀,,I
296,魚鷹,Pandion haliaetus,haliaetus,Osprey,鶚科 Pandionidae,冬、不普,冬、稀/過、不普,過、不普/冬、普,冬、普/過、普,,II
297,黑翅鳶,Elanus caeruleus,vociferus,Black-winged Kite,鷹科 Accipitridae,留、普,過、稀,留、稀,過、稀,,II
298,東方蜂鷹,Pernis ptilorhynchus,orientalis,Oriental Honey-buzzard,鷹科 Accipitridae,留、不普,過、稀,過、稀,過、稀,,II
299,黑冠鵑隼,Aviceda leuphotes,syama,Black Baza,鷹科 Accipitridae,過、稀,迷,迷,無,,II
300,禿鷲,Aegypius monachus,無亞種分化,Cinereous Vulture,鷹科 Accipitridae,迷,無,無,無,,II
301,大冠鷲,Spilornis cheela,hoya,Crested Serpent-Eagle,鷹科 Accipitridae,留、普,無,過、稀,無,臺灣特有亞種(S. c. hoya),II
302,熊鷹,Nisaetus nipalensis,nipalensis,Mountain Hawk-Eagle,鷹科 Accipitridae,留、稀,無,無,無,,I
303,林鵰,Ictinaetus malaiensis,malaiensis,Black Eagle,鷹科 Accipitridae,留、不普,無,迷,無,,II
304,花鵰,Clanga clanga,無亞種分化,Greater Spotted Eagle,鷹科 Accipitridae,迷,過、稀,過、稀,無,,II
305,靴隼鵰,Hieraaetus pennatus,無亞種分化,Booted Eagle,鷹科 Accipitridae,無,無,迷,無,,II
306,白肩鵰,Aquila heliaca,無亞種分化,Imperial Eagle,鷹科 Accipitridae,迷,無,冬、稀,無,,I
307,金鵰,Aquila chrysaetos,?,Golden Eagle,鷹科 Accipitridae,無,迷,無,無,,
308,白腹鵰,Aquila fasciata,fasciata,Bonelli's Eagle,鷹科 Accipitridae,無,無,迷,無,,II
309,灰面鵟鷹,Butastur indicus,無亞種分化,Gray-faced Buzzard,鷹科 Accipitridae,冬、稀/過、普,過、普,過、不普,冬、稀/過、普,,II
310,西方澤鵟,Circus aeruginosus,aeruginosus(?),Eurasian Marsh-Harrier,鷹科 Accipitridae,迷,無,無,無,,II
311,東方澤鵟,Circus spilonotus,無亞種分化,Eastern Marsh-Harrier,鷹科 Accipitridae,冬、不普/過、不普,過、稀,過、稀,過、稀,,II
312,灰澤鵟,Circus cyaneus,無亞種分化,Hen Harrier,鷹科 Accipitridae,冬、稀/過、稀,過、稀,過、稀,過、稀,,II
313,花澤鵟,Circus melanoleucos,無亞種分化,Pied Harrier,鷹科 Accipitridae,冬、稀/過、稀,無,過、稀,迷,,II
314,鳳頭蒼鷹,Accipiter trivirgatus,"formosae, indicus",Crested Goshawk,鷹科 Accipitridae,留、普,過、稀,過、稀,無,含臺灣特有亞種(A. t. formosae),II
315,赤腹鷹,Accipiter soloensis,無亞種分化,Chinese Sparrowhawk,鷹科 Accipitridae,過、普,過、普,過、不普,冬、稀/過、普,,II
316,日本松雀鷹,Accipiter gularis,gularis,Japanese Sparrowhawk,鷹科 Accipitridae,冬、稀/過、不普,冬、不普/過、普,冬、稀?/過、稀,冬、稀/過、不普,,II
317,松雀鷹,Accipiter virgatus,"fuscipectus, affinis",Besra,鷹科 Accipitridae,留、不普,過、稀,留、稀/過、稀,無,含臺灣特有亞種(A. v. fuscipectus),II
318,北雀鷹,Accipiter nisus,nisosimilis,Eurasian Sparrowhawk,鷹科 Accipitridae,冬、稀,過、稀,過、稀,冬、稀/過、不普,,II
319,蒼鷹,Accipiter gentilis,"fujiyamae, schvedowi",Northern Goshawk,鷹科 Accipitridae,冬、稀,過、稀,冬、稀/過、稀,過、稀,,II
320,黑鳶,Milvus migrans,"formosanus, lineatus",Black Kite,鷹科 Accipitridae,留、不普/冬、稀,過、稀,冬、不普/過、不普,迷,,II
321,栗鳶,Haliastur indus,indus,Brahminy Kite,鷹科 Accipitridae,迷,無,迷,無,,II
322,白尾海鵰,Haliaeetus albicilla,無亞種分化,White-tailed Eagle,鷹科 Accipitridae,冬、稀,無,無,無,,I
323,白腹海鵰,Haliaeetus leucogaster,無亞種分化,White-bellied Sea-Eagle,鷹科 Accipitridae,迷,迷,迷,無,,II
324,毛足鵟,Buteo lagopus,"menzbieri, kamtschatkensis",Rough-legged Hawk,鷹科 Accipitridae,迷,無,迷,無,,II
325,歐亞鵟,Buteo buteo,vulpinus,Common Buzzard,鷹科 Accipitridae,無,無,迷,無,,
326,東方鵟,Buteo japonicus,japonicus,Eastern Buzzard,鷹科 Accipitridae,冬、不普/過、不普,冬、普/過、普,冬、普,冬、普/過、普,,II
327,大鵟,Buteo hemilasius,無亞種分化,Upland Buzzard,鷹科 Accipitridae,冬、稀,過、稀,過、稀,迷,,II
328,草鴞,Tyto longimembris,pithecops,Australasian Grass-Owl,草鴞科 Tytonidae,留、稀,迷,迷,無,臺灣特有亞種(T. l. pithecops),I
329,黃嘴角鴞,Otus spilocephalus,hambroecki,Mountain Scops-Owl,鴟鴞科 Strigidae,留、普,無,無,無,臺灣特有亞種(O. s. hambroecki),II
330,領角鴞,Otus lettia,"glabripes, erythrocampe",Collared Scops-Owl,鴟鴞科 Strigidae,留、普,迷,迷,無,含臺灣特有亞種(O. l. glabripes),II
331,蘭嶼角鴞,Otus elegans,botelensis,Ryukyu Scops-Owl,鴟鴞科 Strigidae,留、蘭普,無,無,無,蘭嶼特有亞種(O. e. botelensis),II
332,東方角鴞,Otus sunia,"japonicus, stictonotus",Oriental Scops-Owl,鴟鴞科 Strigidae,過、稀,過、稀,過、稀,過、稀,,II
333,黃魚鴞,Ketupa flavipes,無亞種分化,Tawny Fish-Owl,鴟鴞科 Strigidae,留、稀,無,無,無,,II
334,鵂鶹,Taenioptynx brodiei,pardalotus,Collared Owlet,鴟鴞科 Strigidae,留、不普,無,無,無,臺灣特有亞種(T. b. pardalotus),II
335,縱紋腹小鴞,Athene noctua,plumipes,Little Owl,鴟鴞科 Strigidae,迷,無,?,無,,II
336,褐林鴞,Strix leptogrammica,caligata,Brown Wood-Owl,鴟鴞科 Strigidae,留、稀,無,無,無,,II
337,東方灰林鴞,Strix nivicolum,yamadae,Himalayan Owl,鴟鴞科 Strigidae,留、稀,無,無,無,臺灣特有亞種(S. n. yamadae),II
338,長耳鴞,Asio otus,otus,Long-eared Owl,鴟鴞科 Strigidae,冬、稀,無,冬、稀,過、稀,,II
339,短耳鴞,Asio flammeus,flammeus,Short-eared Owl,鴟鴞科 Strigidae,冬、不普,過、稀,冬、稀,冬、稀/過、不普,,II
340,褐鷹鴞,Ninox japonica,"totogo, japonica",Northern Boobook,鴟鴞科 Strigidae,留、不普/過、不普,過、稀,過、稀,過、不普,,II
341,戴勝,Upupa epops,saturata,Eurasian Hoopoe,戴勝科 Upupidae,冬、稀/過、稀,過、普,留、普/過、不普,過、不普,,
342,翠鳥,Alcedo atthis,bengalensis,Common Kingfisher,翠鳥科 Alcedinidae,留、普/過、不普,留、普,留、普/過、稀,過、普,,
343,黑背三趾翠鳥,Ceyx erithaca,erithaca,Black-backed Dwarf-Kingfisher,翠鳥科 Alcedinidae,迷,迷,迷,無,,
344,赤翡翠,Halcyon coromanda,"major, bangsi",Ruddy Kingfisher,翠鳥科 Alcedinidae,過、稀,過、稀,過、稀,過、稀,,
345,蒼翡翠,Halcyon smyrnensis,fokiensis,White-throated Kingfisher,翠鳥科 Alcedinidae,過、稀,過、稀,留、普,迷,,
346,黑頭翡翠,Halcyon pileata,無亞種分化,Black-capped Kingfisher,翠鳥科 Alcedinidae,冬、稀/過、稀,過、稀,冬、稀/過、稀,冬、稀/過、稀,,
347,白領翡翠,Todiramphus chloris,collaris,Collared Kingfisher,翠鳥科 Alcedinidae,迷,無,無,無,,
348,斑翡翠,Ceryle rudis,insignis,Pied Kingfisher,翠鳥科 Alcedinidae,無,過、稀,留、不普,無,,
349,藍喉蜂虎,Merops viridis,無亞種分化,Blue-throated Bee-eater,蜂虎科 Meropidae,無,無,迷,無,,
350,藍頰蜂虎,Merops persicus,persicus,Blue-cheeked Bee-eater,蜂虎科 Meropidae,無,無,迷,無,,
351,栗喉蜂虎,Merops philippinus,無亞種分化,Blue-tailed Bee-eater,蜂虎科 Meropidae,迷,無,夏、普,過、稀,,
352,彩虹蜂虎,Merops ornatus,無亞種分化,Rainbow Bee-eater,蜂虎科 Meropidae,迷,無,無,無,,
353,佛法僧,Eurystomus orientalis,cyanocollis,Dollarbird,佛法僧科 Coraciidae,過、稀,過、普,過、稀,過、不普,,
354,五色鳥,Psilopogon nuchalis,無亞種分化,Taiwan Barbet,鬚鴷科 Megalaimidae,留、普,無,無,無,臺灣特有種,
355,地啄木,Jynx torquilla,torquilla,Eurasian Wryneck,啄木鳥科 Picidae,冬、稀/過、稀,過、稀,冬、不普,過、稀,,
356,小啄木,Yungipicus canicapillus,kaleensis,Gray-capped Pygmy Woodpecker,啄木鳥科 Picidae,留、普,無,無,無,,
357,大赤啄木,Dendrocopos leucotos,insularis,White-backed Woodpecker,啄木鳥科 Picidae,留、不普,無,無,無,臺灣特有亞種(D. l. insularis),II
358,綠啄木,Picus canus,tancolo,Gray-headed Woodpecker,啄木鳥科 Picidae,留、稀,無,無,無,,II
359,紅隼,Falco tinnunculus,interstinctus(?),Eurasian Kestrel,隼科 Falconidae,冬、普,冬、不普/過、普,冬、不普,冬、普/過、普,,II
360,紅腳隼,Falco amurensis,無亞種分化,Amur Falcon,隼科 Falconidae,過、稀,過、稀,過、稀,過、稀,,II
361,灰背隼,Falco columbarius,"insignis(?), pacificus(?)",Merlin,隼科 Falconidae,冬、稀,迷,無,過、稀,,II
362,燕隼,Falco subbuteo,"subbuteo(?), streichi(?)",Eurasian Hobby,隼科 Falconidae,過、不普,過、不普,過、稀,過、稀,,II
363,遊隼,Falco peregrinus,"calidus, peregrinator,   japonensis, ernesti",Peregrine Falcon,隼科 Falconidae,留、稀/冬、不普/過、不普,夏、稀/過、不普,冬、不普,冬、稀/過、不普,,II
364,藍翅八色鳥,Pitta moluccensis,無亞種分化,Blue-winged Pitta,八色鳥科 Pittidae,迷,迷,迷,迷,,
365,八色鳥,Pitta nympha,無亞種分化,Fairy Pitta,八色鳥科 Pittidae,夏、不普,過、稀,迷,迷,,II
366,綠胸八色鳥,Pitta sordida,sordida,Hooded Pitta,八色鳥科 Pittidae,迷,無,無,無,,
367,灰喉山椒鳥,Pericrocotus solaris,griseogularis,Gray-chinned Minivet,山椒鳥科 Campephagidae,留、普,迷,迷,無,,
368,長尾山椒鳥,Pericrocotus ethologus,ethologus,Long-tailed Minivet,山椒鳥科 Campephagidae,迷,無,無,無,,
369,赤紅山椒鳥,Pericrocotus speciosus,fohkiensis,Scarlet Minivet,山椒鳥科 Campephagidae,無,無,迷,無,,
370,琉球山椒鳥,Pericrocotus tegimae,無亞種分化,Ryukyu Minivet,山椒鳥科 Campephagidae,迷,迷,迷,迷,,
371,灰山椒鳥,Pericrocotus divaricatus,無亞種分化,Ashy Minivet,山椒鳥科 Campephagidae,冬、稀/過、稀,過、普,過、不普,過、不普,,
372,小灰山椒鳥,Pericrocotus cantonensis,無亞種分化,Brown-rumped Minivet,山椒鳥科 Campephagidae,迷,過、稀,夏、稀/過、稀,過、稀,,
373,粉紅山椒鳥,Pericrocotus roseus,roseus(?),Rosy Minivet,山椒鳥科 Campephagidae,無,迷,無,無,,
374,花翅山椒鳥,Coracina macei,rexpineti,Large Cuckooshrike,山椒鳥科 Campephagidae,留、稀,迷,迷,無,,II
375,黑原鵑鵙,Lalage nigra,nigra,Pied Triller,山椒鳥科 Campephagidae,迷,無,無,無,,
376,黑翅山椒鳥,Lalage melaschistos,intermedia,Black-winged Cuckooshrike,山椒鳥科 Campephagidae,冬、稀/過、稀,過、不普,冬、稀/過、稀,過、稀,,
377,綠畫眉,Erpornis zantholeuca,griseiloris,White-bellied Erpornis,綠鵙科 Vireonidae,留、普,無,迷,無,,
378,黃鸝,Oriolus chinensis,diffusus,Black-naped Oriole,黃鸝科 Oriolidae,留、稀/過、稀,過、不普,冬、稀/過、稀,過、稀,,II
379,朱鸝,Oriolus traillii,ardens,Maroon Oriole,黃鸝科 Oriolidae,留、不普,無,無,無,臺灣特有亞種(O. t. ardens),II
380,菲律賓扇尾鶲,Rhipidura nigritorquis,無亞種分化,Philippine Pied-Fantail,扇尾鶲科 Rhipiduridae,迷,無,無,無,,
381,大卷尾,Dicrurus macrocercus,"harterti, cathoecus",Black Drongo,卷尾科 Dicruridae,留、普/過、稀,過、普,夏、不普/冬、稀/過、不普,過、不普,含臺灣特有亞種(D. m. harterti),
382,灰卷尾,Dicrurus leucophaeus,leucogenis,Ashy Drongo,卷尾科 Dicruridae,冬、稀/過、稀,過、普,過、稀,過、稀,,
383,鴉嘴卷尾,Dicrurus annectens,無亞種分化,Crow-billed Drongo,卷尾科 Dicruridae,無,迷,?,無,,
384,小卷尾,Dicrurus aeneus,braunianus,Bronzed Drongo,卷尾科 Dicruridae,留、普,無,無,迷,臺灣特有亞種(D. a. braunianus),
385,髮冠卷尾,Dicrurus hottentottus,brevirostris,Hair-crested Drongo,卷尾科 Dicruridae,過、稀,過、不普,過、稀,過、不普,,
386,黑枕藍鶲,Hypothymis azurea,"oberholseri, styani",Black-naped Monarch,王鶲科 Monarchidae,留、普,迷,迷,無,含臺灣特有亞種(H. a. oberholseri),
387,紫綬帶,Terpsiphone atrocaudata,"atrocaudata, periophthalmica",Japanese Paradise-Flycatcher,王鶲科 Monarchidae,留、蘭稀/夏、蘭普/過、不普,過、不普,過、稀,過、稀,,II
